name,timestamp,anger,contempt,happiness,sadness,surprise,neutral
marina,1900-01-01 01:19:00,0.02,0.01,0.05,0.02,0.01,0.89
marina,1900-01-01 01:20:00,0.03,0.01,0.0,0.07,0.0,0.85
marina,1900-01-01 01:21:00,0.03,0.01,0.0,0.1,0.0,0.85
marina,1900-01-01 01:22:00,0.01,0.01,0.12,0.04,0.01,0.81
marina,1900-01-01 01:23:00,0.02,0.01,0.11,0.03,0.02,0.81
marina,1900-01-01 01:24:00,0.01,0.02,0.2,0.02,0.0,0.74
marina,1900-01-01 01:25:00,0.01,0.01,0.07,0.1,0.0,0.81
marina,1900-01-01 01:26:00,0.0,0.0,0.0,0.14,0.0,0.84
marina,1900-01-01 01:27:00,0.0,0.0,0.01,0.06,0.0,0.91
marina,1900-01-01 01:28:00,0.02,0.01,0.0,0.08,0.0,0.89
marina,1900-01-01 01:29:00,0.02,0.01,0.0,0.07,0.0,0.89
marina,1900-01-01 01:30:00,0.06,0.01,0.0,0.14,0.0,0.76
marina,1900-01-01 01:31:00,0.02,0.01,0.06,0.06,0.0,0.84
marina,1900-01-01 01:32:00,0.02,0.02,0.05,0.02,0.0,0.89
marina,1900-01-01 01:33:00,0.07,0.02,0.05,0.04,0.0,0.81
marina,1900-01-01 01:34:00,0.09,0.01,0.0,0.05,0.0,0.84
marina,1900-01-01 01:35:00,0.08,0.02,0.01,0.11,0.0,0.78
marina,1900-01-01 01:36:00,0.08,0.01,0.02,0.05,0.0,0.83
marina,1900-01-01 01:37:00,0.01,0.01,0.02,0.13,0.0,0.84
marina,1900-01-01 01:38:00,0.03,0.01,0.11,0.02,0.0,0.82
marina,1900-01-01 01:39:00,0.02,0.01,0.05,0.02,0.0,0.9
marina,1900-01-01 01:40:00,0.01,0.0,0.0,0.17,0.0,0.82
marina,1900-01-01 01:41:00,0.01,0.0,0.0,0.18,0.0,0.81
marina,1900-01-01 01:42:00,0.0,0.0,0.0,0.14,0.0,0.85
marina,1900-01-01 01:43:00,0.0,0.0,0.0,0.07,0.0,0.93
marina,1900-01-01 01:44:00,0.0,0.0,0.01,0.1,0.0,0.88
marina,1900-01-01 01:45:00,0.0,0.0,0.04,0.07,0.0,0.89
marina,1900-01-01 01:46:00,0.0,0.0,0.02,0.04,0.0,0.94
marina,1900-01-01 01:47:00,0.01,0.0,0.03,0.06,0.0,0.89
marina,1900-01-01 01:48:00,0.0,0.0,0.14,0.06,0.0,0.8
