name,timestamp,anger,contempt,happiness,sadness,surprise,neutral
ciro,1900-01-01 01:16:00,0.0,0.02,0.06,0.04,0.01,0.86
ciro,1900-01-01 01:17:00,0.0,0.02,0.02,0.09,0.0,0.87
ciro,1900-01-01 01:18:00,0.0,0.02,0.0,0.06,0.0,0.92
ciro,1900-01-01 01:19:00,0.0,0.04,0.0,0.08,0.0,0.88
ciro,1900-01-01 01:20:00,0.0,0.01,0.0,0.06,0.0,0.92
ciro,1900-01-01 01:21:00,0.01,0.04,0.0,0.07,0.0,0.88
ciro,1900-01-01 01:22:00,0.0,0.01,0.1,0.04,0.0,0.84
ciro,1900-01-01 01:23:00,0.0,0.02,0.0,0.1,0.0,0.87
ciro,1900-01-01 01:24:00,0.0,0.02,0.0,0.1,0.0,0.88
ciro,1900-01-01 01:25:00,0.0,0.03,0.01,0.1,0.0,0.87
ciro,1900-01-01 01:26:00,0.0,0.03,0.0,0.11,0.0,0.86
ciro,1900-01-01 01:27:00,0.0,0.03,0.03,0.08,0.0,0.86
ciro,1900-01-01 01:28:00,0.0,0.04,0.0,0.06,0.0,0.89
ciro,1900-01-01 01:29:00,0.0,0.02,0.0,0.08,0.0,0.9
ciro,1900-01-01 01:30:00,0.0,0.03,0.0,0.1,0.0,0.87
ciro,1900-01-01 01:31:00,0.0,0.04,0.0,0.07,0.0,0.88
ciro,1900-01-01 01:32:00,0.0,0.02,0.0,0.08,0.0,0.9
ciro,1900-01-01 01:33:00,0.02,0.03,0.09,0.09,0.0,0.77
ciro,1900-01-01 01:34:00,0.0,0.01,0.0,0.07,0.0,0.91
ciro,1900-01-01 01:35:00,0.01,0.05,0.11,0.04,0.0,0.78
ciro,1900-01-01 01:36:00,0.0,0.02,0.02,0.07,0.0,0.88
ciro,1900-01-01 01:37:00,0.0,0.01,0.0,0.13,0.01,0.85
ciro,1900-01-01 01:38:00,0.0,0.01,0.0,0.23,0.0,0.76
ciro,1900-01-01 01:39:00,0.0,0.02,0.0,0.14,0.0,0.84
ciro,1900-01-01 01:40:00,0.02,0.04,0.0,0.1,0.0,0.84
ciro,1900-01-01 01:41:00,0.0,0.02,0.0,0.16,0.0,0.82
ciro,1900-01-01 01:42:00,0.0,0.02,0.05,0.12,0.0,0.81
ciro,1900-01-01 01:43:00,0.01,0.02,0.08,0.01,0.02,0.85
ciro,1900-01-01 01:44:00,0.0,0.01,0.05,0.06,0.01,0.87
ciro,1900-01-01 01:45:00,0.0,0.03,0.07,0.07,0.0,0.82
ciro,1900-01-01 01:46:00,0.0,0.02,0.0,0.06,0.0,0.91
ciro,1900-01-01 01:47:00,0.0,0.03,0.06,0.06,0.0,0.85
ciro,1900-01-01 01:48:00,0.0,0.02,0.03,0.03,0.0,0.91
