name,timestamp,anger,contempt,happiness,sadness,surprise,neutral
meirelles,1900-01-01 00:52:00,0.04,0.0,0.08,0.0,0.13,0.74
meirelles,1900-01-01 00:53:00,0.0,0.0,0.32,0.01,0.0,0.66
meirelles,1900-01-01 00:54:00,0.0,0.0,0.01,0.02,0.0,0.96
meirelles,1900-01-01 00:55:00,0.0,0.0,0.03,0.04,0.0,0.93
meirelles,1900-01-01 00:56:00,0.0,0.0,0.0,0.04,0.0,0.95
meirelles,1900-01-01 00:57:00,0.0,0.0,0.0,0.01,0.01,0.97
meirelles,1900-01-01 00:58:00,0.05,0.0,0.04,0.01,0.07,0.83
meirelles,1900-01-01 00:59:00,0.02,0.0,0.11,0.01,0.06,0.8
meirelles,1900-01-01 01:00:00,0.02,0.0,0.07,0.01,0.01,0.88
meirelles,1900-01-01 01:01:00,0.0,0.0,0.11,0.03,0.0,0.86
meirelles,1900-01-01 01:02:00,0.0,0.0,0.0,0.04,0.01,0.94
meirelles,1900-01-01 01:03:00,0.0,0.0,0.0,0.05,0.01,0.94
meirelles,1900-01-01 01:04:00,0.0,0.0,0.03,0.03,0.0,0.94
meirelles,1900-01-01 01:05:00,0.01,0.0,0.03,0.02,0.0,0.93
meirelles,1900-01-01 01:06:00,0.0,0.0,0.01,0.04,0.0,0.94
meirelles,1900-01-01 01:07:00,0.0,0.0,0.01,0.03,0.0,0.96
meirelles,1900-01-01 01:08:00,0.0,0.0,0.06,0.03,0.0,0.9
meirelles,1900-01-01 01:09:00,0.0,0.0,0.0,0.03,0.0,0.97
meirelles,1900-01-01 01:10:00,0.0,0.0,0.0,0.01,0.01,0.98
meirelles,1900-01-01 01:11:00,0.0,0.0,0.02,0.01,0.0,0.96
meirelles,1900-01-01 01:12:00,0.01,0.0,0.0,0.02,0.0,0.96
meirelles,1900-01-01 01:13:00,0.01,0.0,0.0,0.01,0.02,0.96
meirelles,1900-01-01 01:14:00,0.0,0.0,0.0,0.03,0.0,0.96
meirelles,1900-01-01 01:15:00,0.0,0.0,0.03,0.03,0.0,0.94
meirelles,1900-01-01 01:16:00,0.0,0.0,0.0,0.01,0.02,0.96
meirelles,1900-01-01 01:17:00,0.02,0.0,0.0,0.01,0.03,0.94
meirelles,1900-01-01 01:18:00,0.04,0.01,0.05,0.02,0.03,0.86
meirelles,1900-01-01 01:19:00,0.07,0.0,0.02,0.01,0.07,0.83
meirelles,1900-01-01 01:20:00,0.01,0.01,0.03,0.01,0.05,0.89
meirelles,1900-01-01 01:21:00,0.02,0.0,0.0,0.01,0.02,0.94
meirelles,1900-01-01 01:22:00,0.01,0.0,0.02,0.01,0.0,0.96
meirelles,1900-01-01 01:23:00,0.01,0.0,0.02,0.01,0.0,0.95
meirelles,1900-01-01 01:24:00,0.0,0.03,0.0,0.04,0.05,0.87
meirelles,1900-01-01 01:25:00,0.0,0.02,0.03,0.01,0.0,0.94
meirelles,1900-01-01 01:26:00,0.0,0.0,0.0,0.03,0.0,0.96
meirelles,1900-01-01 01:27:00,0.05,0.0,0.01,0.02,0.02,0.89
meirelles,1900-01-01 01:28:00,0.02,0.0,0.03,0.0,0.01,0.94
meirelles,1900-01-01 01:29:00,0.0,0.0,0.02,0.02,0.0,0.96
meirelles,1900-01-01 01:30:00,0.0,0.0,0.02,0.04,0.0,0.94
meirelles,1900-01-01 01:31:00,0.0,0.0,0.0,0.03,0.0,0.96
meirelles,1900-01-01 01:32:00,0.0,0.0,0.13,0.01,0.0,0.85
meirelles,1900-01-01 01:33:00,0.0,0.0,0.0,0.02,0.0,0.97
meirelles,1900-01-01 01:34:00,0.0,0.0,0.05,0.02,0.0,0.93
meirelles,1900-01-01 01:35:00,0.02,0.02,0.0,0.03,0.0,0.94
meirelles,1900-01-01 01:36:00,0.03,0.0,0.07,0.02,0.0,0.88
meirelles,1900-01-01 01:37:00,0.02,0.0,0.0,0.03,0.01,0.93
meirelles,1900-01-01 01:38:00,0.02,0.0,0.0,0.04,0.03,0.92
meirelles,1900-01-01 01:39:00,0.02,0.0,0.0,0.04,0.03,0.92
meirelles,1900-01-01 01:40:00,0.05,0.0,0.0,0.02,0.02,0.91
meirelles,1900-01-01 01:41:00,0.06,0.0,0.0,0.03,0.02,0.9
meirelles,1900-01-01 01:42:00,0.1,0.0,0.0,0.02,0.02,0.85
meirelles,1900-01-01 01:43:00,0.02,0.0,0.0,0.04,0.01,0.93
meirelles,1900-01-01 01:44:00,0.12,0.0,0.02,0.01,0.02,0.82
meirelles,1900-01-01 01:45:00,0.2,0.01,0.04,0.0,0.06,0.69
meirelles,1900-01-01 01:46:00,0.01,0.0,0.0,0.04,0.0,0.95
meirelles,1900-01-01 01:47:00,0.04,0.0,0.09,0.0,0.0,0.86
meirelles,1900-01-01 01:48:00,0.0,0.0,0.5,0.0,0.0,0.5
